SERIES_CODE,שם סדרה,FREQ,תדירות,UNIT_MEASURE,יחידות מידה,DATA_ITEM,פריט,BALANCE_SHEET_SECTION,סיווג מאזני,DATA_TYPE,סוג נתון,COUNTERPART_SECTOR,מגזר נגדי,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE,RELEASE_STATUS,שחרור תצפית
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-01,7655.84625827,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-02,8618.61764659,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-03,9091.11863729,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-04,9656.72181975,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-05,9759.96751642,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-06,8931.50079077,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-07,9076.17713675,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-08,8273.93225812,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-09,8989.83732282,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-10,8529.67677751,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-11,8409.21893086,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1995-12,8307.39154689,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-01,9177.29168152,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-02,10024.63981565,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-03,9836.65821269,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-04,9589.81745697,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-05,9373.06426447,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-06,9007.15959675,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-07,9052.0327161,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-08,9655.04392902,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-09,10367.66981805,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_RES2700018_D_B_ME,"יתרות מט""ח (במונחי דולר)",M,חודשי,USD,דולרים,L150200,"יתרות מט""ח",_Z,לא רלוונטי,STK,יתרה,_Z,לא רלוונטי,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-10,11819.77193865,YP,תצפית משוחררת לציבור ופנימית ( Public)
