SERIES_CODE,שם סדרה,FREQ,תדירות,IR_FV_TYPE,סוג ריבית,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MEASURE,יחידות מידה,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-01,11.91
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-02,11.9
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-03,11.93
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-04,11.9
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-05,11.9
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-06,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-07,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-08,11.91
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-09,11.9
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-10,11.91
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-11,11.91
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-12,11.91
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-13,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-14,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-15,11.91
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-16,11.89
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-17,11.91
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-18,11.93
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-19,11.9
